#TAG,NAME IN REPO (or git url),PURPOSE
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for Siarch."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
#,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/mrkatebzadeh/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
A,dropbox,""
A,iranian-fonts,""
A,libxft-bgra-git,""
A,mendeleydesktop-bundled,""
A,skypeforlinux-stable-bin,""
A,slack-desktop,""
A,thinkfan,""
A,tor-browser,""
A,tremc-git,""
A,urlview,""
A,visual-studio-code-bin,""
A,whatsapp-for-linux,""
A,x11docker,""
A,ytfzf,""
,audacity,""
,caprine,""
,cmatrix,""
,cronie,""
,docker,""
,docker-compose,""
,irssi,""
,jdk-openjdk,""
,networkmanager,""
,notmuch,""
,python-pip,""
,stow,""
,telegram-desktop,""
,translate-shell,""
,transmission-cli,""
,ueberzug,""
,upower,""
,vim,""
,wget,""
,xf86-input-evdev,""
,xorg-xinput,""
,python-pywal,""
,ttf-font-awesome,""
,ncdu,"Simple ncurses disk usage analyzer"
,ccls,""
,llvm,""
A,cpplint,""
G,https://github.com/mrkatebzadeh/tabbed.git,"is the tab manager."
G,https://github.com/mrkatebzadeh/surf.git,"is the browser."
,sxhkd,"binding manager"
,noto-fonts,""
,noto-fonts-emoji, ""
,vim-airline,""
,alacritty,"Better terminal emulator"
A,nerd-fonts-mononoki,""
,gdb, "Godly tool for everyday usage"
A,skippy-xd-git,"Task switcher"
,lazygit,"Git frontend for lazy users"
A,lazydocker,"Docker frontend for lazy users"
,ripgrep, "Search tool everyone needs"
,xdg-user-dirs, "help manage "well known" user directories like the desktop folder and the music folder."
,bmon, "Network traffic visualizer"
A,s-tui-git, "Sensor monitoring"
,brightnessctl, "Brightness control"
A,picom-ibhagwan-git, "Composer"
A,nerd-fonts-jetbrains-mono, "Jetbrains"
A,betterlockscreen, "Fancy lockscreen!"
A,deadd-notification-center-bin, "Notification Center"
A,i3-gaps, "i3 tiling manager"
A,rofi, "dmenu replacement"
A,polybar, "Menu bar"
,dhcpcd,""
,tmux, ""
A,rofi-calc, "Calculator"
A,ly, "TUI display manager"
,acpi, "The Advanced Configuration and Power Interface"
